step,step_state_sec,to_numpy_sec,total_step_sec,saved
0,0.06285740000021178,0.0003608999995776685,0.06566469999961555,1
1,0.0001539999993838137,0.0,0.0001560000000608852,0
2,6.089999988034833e-05,0.0,6.199999916134402e-05,0
3,4.040000021632295e-05,0.0,4.129999979340937e-05,0
4,3.769999966607429e-05,0.0,3.860000106215011e-05,0
5,3.640000068116933e-05,0.0,3.730000025825575e-05,0
6,3.570000080799218e-05,0.0,3.66000003850786e-05,0
7,3.549999928509351e-05,0.0,3.639999886217993e-05,0
8,4.090000038559083e-05,0.0,4.160000025876798e-05,0
9,2.9299999368959107e-05,0.0,3.000000106112566e-05,0
10,2.769999991869554e-05,0.0,2.840000161086209e-05,0
11,2.750000021478627e-05,0.0,2.8200000087963417e-05,0
12,2.700000004551839e-05,0.0,2.769999991869554e-05,0
13,2.7300000510876998e-05,0.0,2.7999998565064743e-05,0
14,2.769999991869554e-05,0.0,2.8300000849412754e-05,0
15,2.7200001568417065e-05,0.0,2.7800000680144876e-05,0
16,2.700000004551839e-05,0.0,2.7600000976235606e-05,0
17,5.740000051446259e-05,0.0,5.839999903400894e-05,0
18,4.459999945538584e-05,0.0,4.5200000386103056e-05,0
19,2.680000034160912e-05,0.0,2.7399999453336932e-05,0
20,2.6300000172341242e-05,0.0,2.6900001103058457e-05,0
21,2.6300000172341242e-05,0.0,2.6899999284069054e-05,0
22,2.609999864944257e-05,0.0,2.6699999580159783e-05,0
23,2.640000093379058e-05,0.0,2.7099998987978324e-05,0
24,2.6199999410891905e-05,0.0,2.680000034160912e-05,0
25,2.620000122988131e-05,0.0,2.680000034160912e-05,0
26,2.620000122988131e-05,0.0,2.680000034160912e-05,0
27,2.6100000468431972e-05,0.0,2.6700001399149187e-05,0
28,2.5999999706982635e-05,0.0,2.6599998818710446e-05,0
29,2.6100000468431972e-05,0.0,2.6699999580159783e-05,0
30,2.570000106061343e-05,0.0,2.640000093379058e-05,0
31,2.5800000003073364e-05,0.0,2.640000093379058e-05,0
32,2.5999999706982635e-05,0.0,2.6699999580159783e-05,0
33,2.5999999706982635e-05,0.0,2.6699999580159783e-05,0
34,3.7599998904624954e-05,0.0,3.8300000596791506e-05,0
35,2.8700000257231295e-05,0.0,2.9400000130408444e-05,0
36,2.6499999876250513e-05,0.0,2.700000004551839e-05,0
37,2.6399999114801176e-05,0.0,2.700000004551839e-05,0
38,2.6499999876250513e-05,0.0,2.7100000806967728e-05,0
39,2.620000122988131e-05,0.0,2.680000034160912e-05,0
40,2.5499999537714757e-05,0.0,2.6300000172341242e-05,0
41,2.5999999706982635e-05,0.0,2.680000034160912e-05,0
42,2.559999848017469e-05,0.0,2.6199999410891905e-05,0
43,2.59000007645227e-05,0.0,2.660000063769985e-05,0
44,2.680000034160912e-05,0.0,2.750000021478627e-05,0
45,2.5800000003073364e-05,0.0,2.6399999114801176e-05,0
46,2.5899998945533298e-05,0.0,2.6499999876250513e-05,0
47,2.6100000468431972e-05,0.0,2.6699999580159783e-05,0
48,4.680000165535603e-05,0.0,4.7399998948094435e-05,0
49,2.680000034160912e-05,0.0,2.7400001272326335e-05,0
50,2.59000007645227e-05,0.0,2.6500001695239916e-05,0
51,3.680000008898787e-05,0.0,3.749999996216502e-05,0
52,2.8700000257231295e-05,0.0,2.9400000130408444e-05,0
53,2.6199999410891905e-05,0.0,2.6899999284069054e-05,0
