shear,stickiness,secretion,morphology
0.0,0.6007379451580511,0.41159738800516776,0.41128214961850995
0.05,0.6007253825973954,0.41160026692517776,0.41128473098612056
0.1,0.6007131531053904,0.4116029470653652,0.41128713411741447
0.15,0.600701814204499,0.4116053035681703,0.4112892470578295
0.2,0.6006917440344139,0.4116072756551601,0.4112910153105631
0.25,0.6006831221958984,0.411608861306573,0.4112924370656904
0.35,0.6006719548035001,0.4116107549513347,0.4112941349733047
0.5,0.6006719548035001,0.4116107549513347,0.4112941349733047
0.75,0.6006719548035001,0.4116107549513347,0.4112941349733047
1.0,0.6006719548035001,0.4116107549513347,0.4112941349733047
