shear,stickiness,secretion,morphology
0.0,0.6007415399323187,0.4115961251766781,0.4112810172698376
0.05,0.600728514148279,0.4115991657803434,0.4112837436144475
0.1,0.600715837486115,0.41160200050910134,0.4112862853621221
0.15,0.6007041001963649,0.41160449388919684,0.4112885210384127
0.2,0.6006936982210574,0.4116065796150346,0.4112903911898847
0.25,0.6006848138723602,0.411608255090554,0.41129189348951345
0.35,0.6006733414997689,0.41161025318765765,0.41129368505873903
0.5,0.6006733414997689,0.41161025318765765,0.41129368505873903
0.75,0.6006733414997689,0.41161025318765765,0.41129368505873903
1.0,0.6006733414997689,0.41161025318765765,0.41129368505873903
