run,stick_factor,dz_near_sel,dz_far,A_near,A_far,sel_count
baseline,,0.009380804374814034,0.05956794321537018,0.2499985545873642,0.0,185
weak,0.5,0.004689955618232489,0.05956794321537018,0.2499985545873642,0.0,185
medium,0.2,0.0018735586199909449,0.05956794321537018,0.2499985545873642,0.0,185
strong,0.05,0.00047107605496421456,0.05956794321537018,0.2499985545873642,0.0,185
